ID;Term;Bgd_count;Result_count;Result_gene_list;Pct_of_bgd;Fold_enrichment;Odds_ratio;P-value;Benjamini;Bonferroni
GO:0044409;entry into host;77;17;PF3D7_0309600,PF3D7_0315200,PF3D7_0423800,PF3D7_0424100,PF3D7_0507300,PF3D7_0620000,PF3D7_0704600,PF3D7_0819200,PF3D7_0819400,PF3D7_0923300,PF3D7_0929400,PF3D7_0934800,PF3D7_1136700,PF3D7_1147800,PF3D7_1252200,PF3D7_1340000,PF3D7_1342600,;22.1;1.97;2.28;0.00429959446278;0.478819468934;1.0
GO:0051828;entry into other organism involved in symbiotic interaction;77;17;PF3D7_0309600,PF3D7_0315200,PF3D7_0423800,PF3D7_0424100,PF3D7_0507300,PF3D7_0620000,PF3D7_0704600,PF3D7_0819200,PF3D7_0819400,PF3D7_0923300,PF3D7_0929400,PF3D7_0934800,PF3D7_1136700,PF3D7_1147800,PF3D7_1252200,PF3D7_1340000,PF3D7_1342600,;22.1;1.97;2.28;0.00429959446278;0.478819468934;1.0
GO:0051235;maintenance of location;5;3;PF3D7_0102800,PF3D7_1013500,PF3D7_1330400,;60.0;5.35;11.93;0.0118174008407;0.478819468934;1.0
GO:0034033;purine nucleoside bisphosphate biosynthetic process;9;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;44.4;3.96;6.37;0.0124569814634;0.478819468934;1.0
GO:0034030;ribonucleoside bisphosphate biosynthetic process;9;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;44.4;3.96;6.37;0.0124569814634;0.478819468934;1.0
GO:0033866;nucleoside bisphosphate biosynthetic process;9;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;44.4;3.96;6.37;0.0124569814634;0.478819468934;1.0
GO:0006437;tyrosyl-tRNA aminoacylation;2;2;PF3D7_0807900,PF3D7_1117500,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0072348;sulfur compound transport;2;2;PF3D7_0709000,PF3D7_1471200,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0072337;modified amino acid transport;2;2;PF3D7_0206200,PF3D7_0709000,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0009219;pyrimidine deoxyribonucleotide metabolic process;2;2;PF3D7_0417200,PF3D7_1251300,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0009221;pyrimidine deoxyribonucleotide biosynthetic process;2;2;PF3D7_0417200,PF3D7_1251300,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
